,user,to_removable_media,from_removable_media,rec_out,sent_out,device_plugin_count_std,user_logoff_std,user_logon_std,insider_threat
0,AAC0610,1.288291538919477,1.4110816629219631,0.29016913319238896,0.3493670886075949,0.6070914941,6.244997998,7.287155246,False
1,AAF0819,1.3939116011195831,1.5037701188256811,0.25279257604399386,0.3159366262814539,1.017492373,3.31662479,3.31662479,False
2,AAP0352,0.8194022718938414,0.8799659306165901,0.1868846368196173,0.11344282238442828,0.9405702771,3.205897344,3.205897344,False
3,AAP1919,0.880278119952751,0.8496366475685988,0.2940275650842267,0.3491484184914841,0.5858690994,3.027650354,3.027650354,False
4,ABD3426,2.3213200660155784,2.2468832629022595,0.2956270627062706,0.4104289318755257,0.6493748103,6.910654300000001,7.1300732579999995,False
5,ABH0349,2.1929680597060885,2.5308394881642498,0.2922824302134647,0.17209302325581396,0.46650162100000003,3.027650354,2.738612788,False
6,ABK3081,0.9387618426212516,1.1148560979213158,0.3026831474223696,0.276840490797546,0.46748301090000005,6.9346048620000005,7.090047581,False
7,ABM3687,2.2877816162427065,2.3367234286302563,0.3049853372434017,0.16666666666666666,0.9312956339,2.738612788,2.738612788,False
8,ABM3772,0.9790693118468412,0.982885216297554,0.2368637955903565,0.2018960674157303,0.9114231387999999,9.026314806,7.214953607000001,False
9,ABO1173,0.8626144489151463,1.071520537091695,0.28797308662741805,0.2462121212121212,0.6887444187999999,8.684713146,7.34488723,False
10,ABP2917,1.2726852088322047,1.3687048486896831,0.3017009847806625,0.3295194508009154,0.7161988326000001,0.7071067812,2.449489743,False
11,ABR0397,0.8185051856379751,0.9763206289141644,0.3078906652913873,0.2354545454545455,0.4372046954,3.027650354,3.027650354,False
12,ACB0701,0.5649747149841563,0.7777600621565202,0.3537414965986394,0.24789207419898815,0.7221104249,8.953414788,7.37355281,False
13,ACF1806,2.2349987628174968,2.205441494577918,0.24361593462717054,0.20566801619433195,0.5528690658,,2.160246899,False
14,ACG3819,0.9047527017812046,1.1152022464968383,0.2905759162303665,0.2598039215686274,0.7598913212,7.173936713,7.19562758,False
15,ACM2278,1.7320508075688772,0.5773502691896257,0.2450643776824034,0.2133632790567097,1.471960144,5.492419018,6.0023143679999995,True
16,ACS1921,1.4074253653610305,1.4847063135450411,0.2425058337820858,0.20865296103099107,1.009462758,3.31662479,3.027650354,False
17,ACV1946,1.0585374331528947,1.2600542302272342,0.2484805148373257,0.21386384830587504,0.7423298405,6.4058635420000005,6.92085749,False
18,ADB1105,0.9876512943705756,0.9826444601460818,0.21642156862745102,0.1387033398821218,0.915001143,5.487284767,6.953984091000001,False
19,ADG1737,0.9409266896751494,1.1666779809088337,0.24590163934426235,0.17581097316780134,0.6866736119,7.04607594,7.071067812000001,False
20,ADM0923,0.9484716092610771,1.1147578328128294,0.2699214365881033,0.2781324820430966,0.5531207052,6.229803971,6.718134662000001,False
21,ADP3667,1.0225143284661249,1.008005778811909,0.2615384615384615,0.2783300198807157,0.6838164942,3.3349995839999997,3.690282078,False
